iter	Logloss
0	0.625621557
1	0.5783983058
2	0.5329209728
3	0.5022817677
4	0.4735080778
5	0.4541085826
6	0.4292633341
7	0.4133939769
8	0.3994404018
9	0.3883465807
10	0.378711736
11	0.3709150676
12	0.361976391
13	0.3527599285
14	0.3464573
15	0.3411473162
16	0.3332936523
17	0.327549626
18	0.3231878568
19	0.3180697446
20	0.3115215489
21	0.3073448763
22	0.3022834431
23	0.2987237933
24	0.2953854108
25	0.2927666898
26	0.2881113961
27	0.28490028
28	0.2815240997
29	0.2771534768
30	0.2743464593
31	0.2718814478
32	0.2678130723
33	0.2654522079
34	0.263172057
35	0.2604099787
36	0.2585046198
37	0.255393436
38	0.2538173584
39	0.252018745
40	0.250113909
41	0.2484824927
42	0.2467228409
43	0.2453882714
44	0.2438316738
45	0.2416361678
46	0.2401600663
47	0.2389209185
48	0.2376221992
49	0.2366737768
50	0.2348015827
51	0.2329844791
52	0.23172259
53	0.2306032987
54	0.2298402405
55	0.2287634295
56	0.2278197212
57	0.2257550603
58	0.2249676581
59	0.2239125907
60	0.2228890086
61	0.2218720708
62	0.2211674547
63	0.2204580661
64	0.2196107019
65	0.2187259905
66	0.2180908281
67	0.2172774893
68	0.2164807937
69	0.2153598829
70	0.2145673073
71	0.2136929985
72	0.2129969891
73	0.2122971581
74	0.2112799036
75	0.2108413485
76	0.2101708395
77	0.2095115835
78	0.2090518596
79	0.2084696081
80	0.2075367933
81	0.2068067431
82	0.2062904608
83	0.2057894099
84	0.205263177
85	0.2048020694
86	0.2043798623
87	0.2038959745
88	0.2029847715
89	0.2024701787
90	0.2018130139
91	0.2013688095
92	0.2008594416
93	0.2005313845
94	0.2000625735
95	0.1993009489
96	0.1988948743
97	0.1985272278
98	0.1980450848
99	0.1976884836
100	0.1970063743
101	0.1966782712
102	0.1962560509
103	0.1956885586
104	0.195197073
105	0.1948399908
106	0.1944276363
107	0.1939392415
108	0.1935977012
109	0.193269613
110	0.1929084315
111	0.1924809099
112	0.1921678383
113	0.1918510835
114	0.1914095523
115	0.1909870169
116	0.1904141398
117	0.1900164673
118	0.1896901877
119	0.1892578096
120	0.1889803124
121	0.1885029561
122	0.1880545799
123	0.1877196992
124	0.1873757271
125	0.1870840166
126	0.1867966862
127	0.186461847
128	0.1861515221
129	0.1859092209
130	0.1855526089
131	0.1852809383
132	0.1849392188
133	0.1847130953
134	0.1843216931
135	0.1840871675
136	0.183740927
137	0.1834179827
138	0.1831635874
139	0.1827230033
140	0.1824452721
141	0.182213793
142	0.1819119387
143	0.1816023182
144	0.1813825284
145	0.1809008213
146	0.1806179377
147	0.1804096592
148	0.1801358829
